path,resolution,series,sys_id,pos_id,img_id,format,date
800/fallow-flow_10_pos1026_seed1134.png,800,fallow-flow,10,pos1026,seed1134,png,2021-10-05
4000/fallow-flow_10_pos1027_seed1159.png,4000,fallow-flow,10,pos1027,seed1159,png,2021-10-05
800/fallow-flow_10_pos1027_seed1159.png,800,fallow-flow,10,pos1027,seed1159,png,2021-10-05
4000/fallow-flow_10_pos1028_seed1153.png,4000,fallow-flow,10,pos1028,seed1153,png,2021-10-05
800/fallow-flow_10_pos1028_seed1153.png,800,fallow-flow,10,pos1028,seed1153,png,2021-10-05
4000/fallow-flow_10_pos1029_seed1045.png,4000,fallow-flow,10,pos1029,seed1045,png,2021-10-05
800/fallow-flow_10_pos1029_seed1045.png,800,fallow-flow,10,pos1029,seed1045,png,2021-10-05
4000/fallow-flow_10_pos1030_seed1199.png,4000,fallow-flow,10,pos1030,seed1199,png,2021-10-05
800/fallow-flow_10_pos1030_seed1199.png,800,fallow-flow,10,pos1030,seed1199,png,2021-10-05
4000/fallow-flow_10_pos1031_seed1101.png,4000,fallow-flow,10,pos1031,seed1101,png,2021-10-05
800/fallow-flow_10_pos1031_seed1101.png,800,fallow-flow,10,pos1031,seed1101,png,2021-10-05
4000/fallow-flow_10_pos1032_seed1053.png,4000,fallow-flow,10,pos1032,seed1053,png,2021-10-05
800/fallow-flow_10_pos1032_seed1053.png,800,fallow-flow,10,pos1032,seed1053,png,2021-10-05
4000/fallow-flow_10_pos1033_seed1028.png,4000,fallow-flow,10,pos1033,seed1028,png,2021-10-05
800/fallow-flow_10_pos1033_seed1028.png,800,fallow-flow,10,pos1033,seed1028,png,2021-10-05
4000/fallow-flow_10_pos1034_seed1016.png,4000,fallow-flow,10,pos1034,seed1016,png,2021-10-05
800/fallow-flow_10_pos1034_seed1016.png,800,fallow-flow,10,pos1034,seed1016,png,2021-10-05
4000/fallow-flow_10_pos1035_seed1186.png,4000,fallow-flow,10,pos1035,seed1186,png,2021-10-05
800/fallow-flow_10_pos1035_seed1186.png,800,fallow-flow,10,pos1035,seed1186,png,2021-10-05
4000/fallow-flow_10_pos1036_seed1172.png,4000,fallow-flow,10,pos1036,seed1172,png,2021-10-05
800/fallow-flow_10_pos1036_seed1172.png,800,fallow-flow,10,pos1036,seed1172,png,2021-10-05
4000/fallow-flow_10_pos1037_seed1072.png,4000,fallow-flow,10,pos1037,seed1072,png,2021-10-05
800/fallow-flow_10_pos1037_seed1072.png,800,fallow-flow,10,pos1037,seed1072,png,2021-10-05
4000/fallow-flow_10_pos1038_seed1107.png,4000,fallow-flow,10,pos1038,seed1107,png,2021-10-05
800/fallow-flow_10_pos1038_seed1107.png,800,fallow-flow,10,pos1038,seed1107,png,2021-10-05
4000/fallow-flow_10_pos1039_seed1114.png,4000,fallow-flow,10,pos1039,seed1114,png,2021-10-05
800/fallow-flow_10_pos1039_seed1114.png,800,fallow-flow,10,pos1039,seed1114,png,2021-10-05
4000/fallow-flow_10_pos1040_seed1078.png,4000,fallow-flow,10,pos1040,seed1078,png,2021-10-05
800/fallow-flow_10_pos1040_seed1078.png,800,fallow-flow,10,pos1040,seed1078,png,2021-10-05
4000/fallow-flow_10_pos1041_seed1192.png,4000,fallow-flow,10,pos1041,seed1192,png,2021-10-05
800/fallow-flow_10_pos1041_seed1192.png,800,fallow-flow,10,pos1041,seed1192,png,2021-10-05
4000/fallow-flow_10_pos1042_seed1006.png,4000,fallow-flow,10,pos1042,seed1006,png,2021-10-05
800/fallow-flow_10_pos1042_seed1006.png,800,fallow-flow,10,pos1042,seed1006,png,2021-10-05
4000/fallow-flow_10_pos1043_seed1092.png,4000,fallow-flow,10,pos1043,seed1092,png,2021-10-05
800/fallow-flow_10_pos1043_seed1092.png,800,fallow-flow,10,pos1043,seed1092,png,2021-10-05
4000/fallow-flow_10_pos1044_seed1197.png,4000,fallow-flow,10,pos1044,seed1197,png,2021-10-05
800/fallow-flow_10_pos1044_seed1197.png,800,fallow-flow,10,pos1044,seed1197,png,2021-10-05
4000/fallow-flow_10_pos1045_seed1193.png,4000,fallow-flow,10,pos1045,seed1193,png,2021-10-05
800/fallow-flow_10_pos1045_seed1193.png,800,fallow-flow,10,pos1045,seed1193,png,2021-10-05
4000/fallow-flow_10_pos1046_seed1031.png,4000,fallow-flow,10,pos1046,seed1031,png,2021-10-05
800/fallow-flow_10_pos1046_seed1031.png,800,fallow-flow,10,pos1046,seed1031,png,2021-10-05
